Model,ProductCode,Manufacturer,Price (inc VAT),Rating,ReviewCount,Features,IsEnergyEfficient,Guarantee
Samsung  5kW Air-Source Pre-Plumbed Heat Pump Kit 200Ltr,230PG,Samsung,4649.00,3,2,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  5kW Air-Source Pre-Plumbed Heat Pump Kit 170Ltr,619PG,Samsung,4589.00,3,2,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  5kW Air-Source Pre-Plumbed Heat Pump Kit 150Ltr,524PG,Samsung,4499.00,3,2,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  16kW Air-Source Pre-Plumbed Heat Pump Kit 300Ltr,201PG,Samsung,7599.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  16kW Air-Source Pre-Plumbed Heat Pump Kit 250Ltr,637PG,Samsung,7449.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",False,Not specified
Samsung  16kW Air-Source Pre-Plumbed Heat Pump Kit 210Ltr,732PG,Samsung,7329.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",False,Not specified
Samsung  12kW Air-Source Pre-Plumbed Heat Pump Kit 300Ltr,756PG,Samsung,6459.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  12kW Air-Source Pre-Plumbed Heat Pump Kit 210Ltr,648PG,Samsung,6289.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",False,Not specified
Samsung  12kW Air-Source Pre-Plumbed Heat Pump Kit 250Ltr,243PG,Samsung,6279.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",False,Not specified
Samsung  12kW Air-Source Pre-Plumbed Heat Pump Kit 170Ltr,967PG,Samsung,6099.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",False,Not specified
Samsung  8kW Air-Source Pre-Plumbed Heat Pump Kit 250Ltr,914PG,Samsung,5289.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  8kW Air-Source Pre-Plumbed Heat Pump Kit 200Ltr,656PG,Samsung,5189.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  8kW Air-Source Pre-Plumbed Heat Pump Kit 170Ltr,753PG,Samsung,5109.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
Samsung  8kW Air-Source Pre-Plumbed Heat Pump Kit 150Ltr,835PG,Samsung,4999.00,0,0,"Suitable for Domestic Central Heating,A+++ Rated Heating / A++ Rated Water,Stainless Steel Heat Exchanger",True,Not specified
